keys,pt,en,es,de,fr
SPECIES_DETAIL_ROW_NEXT,"Nível {level} — {effect} (próximo)","Level {level} — {effect} (next)","Nivel {level} — {effect} (siguiente)","Stufe {level} — {effect} (als Nächstes)","Niveau {level} — {effect} (suivant)"
SPECIES_DETAIL_ROW_LOCKED,"Nível {level} — {effect} (bloqueado)","Level {level} — {effect} (locked)","Nivel {level} — {effect} (bloqueado)","Stufe {level} — {effect} (gesperrt)","Niveau {level} — {effect} (verrouillé)"
PASSIVE_SPECIES_PRODUCTION,"+{percent} na produção própria","+{percent} to own production","+{percent} a la producción propia","+{percent} auf eigene Produktion","+{percent} à la production propre"
PASSIVE_GLOBAL_PRODUCTION,"+{percent} na produção de todas as espécies","+{percent} to all species' production","+{percent} a la producción de todas las especies","+{percent} auf die Produktion aller Arten","+{percent} à la production de toutes les espèces"
PASSIVE_TAP_VALUE,"+{percent} no valor do toque","+{percent} to tap value","+{percent} al valor del toque","+{percent} auf den Tippwert","+{percent} à la valeur du toucher"
PASSIVE_THRESHOLD_SYNERGY,"+{percent} pra espécies em nível {level}+","+{percent} for species at level {level}+","+{percent} para especies de nivel {level}+","+{percent} für Arten ab Stufe {level}","+{percent} pour les espèces de niveau {level}+"
PASSIVE_COMBO_CLICK,"+{percent} de toque a cada {clicks} cliques seguidos (até {max})","+{percent} tap value every {clicks} taps in a row (up to {max})","+{percent} de toque cada {clicks} toques seguidos (hasta {max})","+{percent} Tippwert alle {clicks} Tipps in Folge (bis {max})","+{percent} au toucher tous les {clicks} touchers d'affilée (jusqu'à {max})"
SETTINGS_TITLE,"Configurações","Settings","Ajustes","Einstellungen","Paramètres"
SETTINGS_MUSIC,"Música","Music","Música","Musik","Musique"
SETTINGS_SFX,"Efeitos","Effects","Efectos","Effekte","Effets"
SETTINGS_MUTE,"Silenciar","Mute","Silenciar","Stumm","Muet"
SETTINGS_UNMUTE,"Ativar som","Unmute","Activar sonido","Ton an","Activer le son"
SETTINGS_LANGUAGE,"Idioma","Language","Idioma","Sprache","Langue"
ACHIEVEMENTS_TITLE,"Conquistas","Achievements","Logros","Erfolge","Succès"
TOAST_ACHIEVEMENT,"Conquista: {name}","Achievement: {name}","Logro: {name}","Erfolg: {name}","Succès : {name}"
TOAST_BOOST_OFF,"O bônus de produção acabou","Production boost ended","El bono de producción terminó","Produktions-Bonus beendet","Le bonus de production est terminé"
ACHIEVEMENTS_PROGRESS,"{unlocked} / {total} desbloqueadas","{unlocked} / {total} unlocked","{unlocked} / {total} desbloqueados","{unlocked} / {total} freigeschaltet","{unlocked} / {total} débloqués"
ACH_FIRST_UNLOCK_NAME,"Novo Amigo","New Friend","Nuevo Amigo","Neuer Freund","Nouvel Ami"
ACH_FIRST_UNLOCK_DESC,"Desbloqueie sua primeira espécie além do Compsognathus.","Unlock your first species beyond the Compsognathus.","Desbloquea tu primera especie además del Compsognathus.","Schalte deine erste Art nach dem Compsognathus frei.","Débloque ta première espèce après le Compsognathus."
ACH_FIRST_MAX_LEVEL_NAME,"Rei da Ilha","Island King","Rey de la Isla","Inselkönig","Roi de l'Île"
ACH_FIRST_MAX_LEVEL_DESC,"Leve algum dino ao nível 100.","Take any dino to level 100.","Lleva a un dino al nivel 100.","Bring einen Dino auf Stufe 100.","Amène un dino au niveau 100."
ACH_FULL_FAMILY_NAME,"Família Completa","Full Family","Familia Completa","Komplette Familie","Famille au Complet"
ACH_FULL_FAMILY_DESC,"Desbloqueie as 32 espécies.","Unlock all 32 species.","Desbloquea las 32 especies.","Schalte alle 32 Arten frei.","Débloque les 32 espèces."
ACH_COLLECTION_COMPLETE_NAME,"Lenda Viva","Living Legend","Leyenda Viva","Lebende Legende","Légende Vivante"
ACH_COLLECTION_COMPLETE_DESC,"Leve as 32 espécies ao nível 100.","Take all 32 species to level 100.","Lleva las 32 especies al nivel 100.","Bring alle 32 Arten auf Stufe 100.","Amène les 32 espèces au niveau 100."
ACH_PRODUCTION_1K_NAME,"Produção Bronze","Bronze Production","Producción Bronce","Bronze-Produktion","Production Bronze"
ACH_PRODUCTION_1K_DESC,"Alcance {amount} de comida por segundo.","Reach {amount} food per second.","Alcanza {amount} de comida por segundo.","Erreiche {amount} Futter pro Sekunde.","Atteins {amount} de nourriture par seconde."
ACH_PRODUCTION_1M_NAME,"Produção Prata","Silver Production","Producción Plata","Silber-Produktion","Production Argent"
ACH_PRODUCTION_1M_DESC,"Alcance {amount} de comida por segundo.","Reach {amount} food per second.","Alcanza {amount} de comida por segundo.","Erreiche {amount} Futter pro Sekunde.","Atteins {amount} de nourriture par seconde."
ACH_PRODUCTION_1B_NAME,"Produção Ouro","Gold Production","Producción Oro","Gold-Produktion","Production Or"
ACH_PRODUCTION_1B_DESC,"Alcance {amount} de comida por segundo.","Reach {amount} food per second.","Alcanza {amount} de comida por segundo.","Erreiche {amount} Futter pro Sekunde.","Atteins {amount} de nourriture par seconde."
ACH_TAPS_1000_NAME,"Dedo Ligeiro","Quick Finger","Dedo Rápido","Flinker Finger","Doigt Agile"
ACH_TAPS_1000_DESC,"Toque {amount} vezes pra alimentar os dinos.","Tap {amount} times to feed the dinos.","Toca {amount} veces para alimentar a los dinos.","Tippe {amount} Mal, um die Dinos zu füttern.","Touche {amount} fois pour nourrir les dinos."
ACH_TAPS_10000_NAME,"Dedo de Aço","Steel Finger","Dedo de Acero","Stahlfinger","Doigt d'Acier"
ACH_TAPS_10000_DESC,"Toque {amount} vezes pra alimentar os dinos.","Tap {amount} times to feed the dinos.","Toca {amount} veces para alimentar a los dinos.","Tippe {amount} Mal, um die Dinos zu füttern.","Touche {amount} fois pour nourrir les dinos."
ACH_STREAK_3_NAME,"Visita Frequente","Frequent Visitor","Visita Frecuente","Häufiger Besucher","Visiteur Assidu"
ACH_STREAK_3_DESC,"Jogue 3 dias seguidos.","Play 3 days in a row.","Juega 3 días seguidos.","Spiele 3 Tage in Folge.","Joue 3 jours d'affilée."
ACH_STREAK_7_NAME,"Hábito Formado","Habit Formed","Hábito Creado","Feste Gewohnheit","Habitude Prise"
ACH_STREAK_7_DESC,"Jogue 7 dias seguidos.","Play 7 days in a row.","Juega 7 días seguidos.","Spiele 7 Tage in Folge.","Joue 7 jours d'affilée."
ACH_FOOD_LIFETIME_1M_NAME,"Fazendeiro","Farmer","Granjero","Farmer","Fermier"
ACH_FOOD_LIFETIME_1M_DESC,"Acumule {amount} de comida ao longo da conta.","Accumulate {amount} food over your account's lifetime.","Acumula {amount} de comida a lo largo de tu cuenta.","Sammle insgesamt {amount} Futter an.","Accumule {amount} de nourriture au total."
OFFLINE_TITLE,"Bem-vindo de volta!","Welcome back!","¡Bienvenido de vuelta!","Willkommen zurück!","Bon retour !"
OFFLINE_BODY,"Seus dinos produziram {amount} de comida enquanto você estava fora ({minutes} min).","Your dinos produced {amount} food while you were away ({minutes} min).","Tus dinos produjeron {amount} de comida mientras no estabas ({minutes} min).","Deine Dinos haben {amount} Futter produziert, während du weg warst ({minutes} Min.).","Tes dinos ont produit {amount} de nourriture pendant ton absence ({minutes} min)."
OFFLINE_DOUBLE_BUTTON,"Dobrar (assistir anúncio)","Double (watch ad)","Duplicar (ver anuncio)","Verdoppeln (Werbung ansehen)","Doubler (voir une pub)"
OFFLINE_BONUS_SUFFIX,"\n+{amount} de bônus por assistir o anúncio!","\n+{amount} bonus for watching the ad!","\n¡+{amount} de bono por ver el anuncio!","\n+{amount} Bonus fürs Ansehen der Werbung!","\n+{amount} de bonus pour avoir regardé la pub !"
PRESTIGE_TITLE,"Prestígio","Prestige","Prestigio","Prestige","Prestige"
PRESTIGE_FOSSILS,"Fósseis Ancestrais: {amount}","Ancestral Fossils: {amount}","Fósiles Ancestrales: {amount}","Urahnen-Fossilien: {amount}","Fossiles Ancestraux : {amount}"
PRESTIGE_SECTION_PRODUCTION,"Produção passiva","Passive production","Producción pasiva","Passive Produktion","Production passive"
PRESTIGE_SECTION_TAP,"Valor do toque","Tap value","Valor del toque","Tippwert","Valeur du toucher"
PRESTIGE_RESET_WARNING,"Reseta nível e comida da run atual — irreversível.","Resets the current run's level and food — irreversible.","Reinicia el nivel y la comida de la partida actual — irreversible.","Setzt Stufe und Futter des aktuellen Durchlaufs zurück — unumkehrbar.","Réinitialise le niveau et la nourriture de la partie en cours — irréversible."
PRESTIGE_BUTTON,"Prestigiar","Prestige","Prestigiar","Prestige","Prestige"
PRESTIGE_BUTTON_PREVIEW,"Prestigiar (+{amount} Fósseis)","Prestige (+{amount} Fossils)","Prestigiar (+{amount} Fósiles)","Prestige (+{amount} Fossilien)","Prestige (+{amount} Fossiles)"
PRESTIGE_CONFIRM,"Toque de novo pra confirmar","Tap again to confirm","Toca de nuevo para confirmar","Zum Bestätigen erneut tippen","Touchez à nouveau pour confirmer"
PRESTIGE_INSUFFICIENT,"Progresso insuficiente (mín. {percent}%)","Not enough progress (min. {percent}%)","Progreso insuficiente (mín. {percent}%)","Nicht genug Fortschritt (mind. {percent}%)","Progression insuffisante (min. {percent}%)"
PRESTIGE_ROW_LEVEL,"Nível {level}/{max} (+{percent}%)","Level {level}/{max} (+{percent}%)","Nivel {level}/{max} (+{percent}%)","Stufe {level}/{max} (+{percent}%)","Niveau {level}/{max} (+{percent}%)"
PRESTIGE_ROW_BUY,"Comprar","Buy","Comprar","Kaufen","Acheter"
PRESTIGE_ROW_BUY_COST,"Comprar\n{cost}","Buy\n{cost}","Comprar\n{cost}","Kaufen\n{cost}","Acheter\n{cost}"
PRESTIGE_ROW_MAX,"Máximo","Max","Máximo","Max.","Max"
PRESTIGE_UP_PROD_1_NAME,"Sedimento Fértil","Fertile Sediment","Sedimento Fértil","Fruchtbares Sediment","Sédiment Fertile"
PRESTIGE_UP_PROD_1_DESC,"O solo da ilha absorve energia ancestral: +2% na produção de todas as espécies por nível.","The island's soil absorbs ancestral energy: +2% to all species' production per level.","El suelo de la isla absorbe energía ancestral: +2% a la producción de todas las especies por nivel.","Der Inselboden nimmt Urahnen-Energie auf: +2% auf die Produktion aller Arten pro Stufe.","Le sol de l'île absorbe l'énergie ancestrale : +2% à la production de toutes les espèces par niveau."
PRESTIGE_UP_PROD_2_NAME,"Eco Genético","Genetic Echo","Eco Genético","Genetisches Echo","Écho Génétique"
PRESTIGE_UP_PROD_2_DESC,"Ecos do DNA ancestral fortalecem cada geração: +3% na produção de todas as espécies por nível.","Echoes of ancestral DNA strengthen every generation: +3% to all species' production per level.","Ecos del ADN ancestral fortalecen cada generación: +3% a la producción de todas las especies por nivel.","Echos der Urahnen-DNA stärken jede Generation: +3% auf die Produktion aller Arten pro Stufe.","Les échos de l'ADN ancestral renforcent chaque génération : +3% à la production de toutes les espèces par niveau."
PRESTIGE_UP_PROD_3_NAME,"Ressonância Fóssil","Fossil Resonance","Resonancia Fósil","Fossile Resonanz","Résonance Fossile"
PRESTIGE_UP_PROD_3_DESC,"Fósseis antigos ressoam pela ilha: +4% na produção de todas as espécies por nível.","Ancient fossils resonate across the island: +4% to all species' production per level.","Fósiles antiguos resuenan por la isla: +4% a la producción de todas las especies por nivel.","Uralte Fossilien schwingen über die Insel: +4% auf die Produktion aller Arten pro Stufe.","D'anciens fossiles résonnent sur toute l'île : +4% à la production de toutes les espèces par niveau."
PRESTIGE_UP_PROD_4_NAME,"Instinto Primordial","Primal Instinct","Instinto Primordial","Urinstinkt","Instinct Primitif"
PRESTIGE_UP_PROD_4_DESC,"O instinto mais antigo desperta em toda a família: +5% na produção de todas as espécies por nível.","The oldest instinct awakens in the whole family: +5% to all species' production per level.","El instinto más antiguo despierta en toda la familia: +5% a la producción de todas las especies por nivel.","Der älteste Instinkt erwacht in der ganzen Familie: +5% auf die Produktion aller Arten pro Stufe.","L'instinct le plus ancien s'éveille dans toute la famille : +5% à la production de toutes les espèces par niveau."
PRESTIGE_UP_PROD_5_NAME,"Vínculo Ancestral","Ancestral Bond","Vínculo Ancestral","Urahnen-Band","Lien Ancestral"
PRESTIGE_UP_PROD_5_DESC,"O vínculo entre gerações se fortalece: +6% na produção de todas as espécies por nível.","The bond between generations grows stronger: +6% to all species' production per level.","El vínculo entre generaciones se fortalece: +6% a la producción de todas las especies por nivel.","Das Band zwischen den Generationen wird stärker: +6% auf die Produktion aller Arten pro Stufe.","Le lien entre les générations se renforce : +6% à la production de toutes les espèces par niveau."
PRESTIGE_UP_PROD_6_NAME,"Legado dos Titãs","Legacy of the Titans","Legado de los Titanes","Vermächtnis der Titanen","Héritage des Titans"
PRESTIGE_UP_PROD_6_DESC,"O legado dos maiores dinos ecoa por toda a ilha: +8% na produção de todas as espécies por nível.","The legacy of the greatest dinos echoes across the island: +8% to all species' production per level.","El legado de los dinos más grandes resuena por toda la isla: +8% a la producción de todas las especies por nivel.","Das Vermächtnis der größten Dinos hallt über die ganze Insel: +8% auf die Produktion aller Arten pro Stufe.","L'héritage des plus grands dinos résonne sur toute l'île : +8% à la production de toutes les espèces par niveau."
PRESTIGE_UP_TAP_1_NAME,"Toque Afiado","Sharp Tap","Toque Afilado","Scharfer Tipp","Toucher Affûté"
PRESTIGE_UP_TAP_1_DESC,"Cada toque carrega um pouco mais de energia ancestral: +3% no valor do toque por nível.","Each tap carries a bit more ancestral energy: +3% to tap value per level.","Cada toque lleva un poco más de energía ancestral: +3% al valor del toque por nivel.","Jeder Tipp trägt etwas mehr Urahnen-Energie: +3% auf den Tippwert pro Stufe.","Chaque toucher porte un peu plus d'énergie ancestrale : +3% à la valeur du toucher par niveau."
PRESTIGE_UP_TAP_2_NAME,"Reflexo Ancestral","Ancestral Reflex","Reflejo Ancestral","Urahnen-Reflex","Réflexe Ancestral"
PRESTIGE_UP_TAP_2_DESC,"Reflexos herdados de eras passadas: +5% no valor do toque por nível.","Reflexes inherited from ages past: +5% to tap value per level.","Reflejos heredados de eras pasadas: +5% al valor del toque por nivel.","Reflexe aus längst vergangenen Zeiten: +5% auf den Tippwert pro Stufe.","Des réflexes hérités d'âges révolus : +5% à la valeur du toucher par niveau."
PRESTIGE_UP_TAP_3_NAME,"Mão Firme","Steady Hand","Mano Firme","Ruhige Hand","Main Ferme"
PRESTIGE_UP_TAP_3_DESC,"A prática de gerações torna cada toque mais certeiro: +7% no valor do toque por nível.","Generations of practice make each tap more precise: +7% to tap value per level.","La práctica de generaciones hace cada toque más certero: +7% al valor del toque por nivel.","Generationen an Übung machen jeden Tipp treffsicherer: +7% auf den Tippwert pro Stufe.","La pratique de générations rend chaque toucher plus précis : +7% à la valeur du toucher par niveau."
PRESTIGE_UP_TAP_4_NAME,"Força dos Titãs","Strength of the Titans","Fuerza de los Titanes","Kraft der Titanen","Force des Titans"
PRESTIGE_UP_TAP_4_DESC,"A força dos maiores dinos passa pra sua mão: +10% no valor do toque por nível.","The strength of the greatest dinos flows into your hand: +10% to tap value per level.","La fuerza de los dinos más grandes pasa a tu mano: +10% al valor del toque por nivel.","Die Kraft der größten Dinos fließt in deine Hand: +10% auf den Tippwert pro Stufe.","La force des plus grands dinos passe dans ta main : +10% à la valeur du toucher par niveau."
COLLECTION_TITLE,"Coleção Completa!","Collection Complete!","¡Colección Completa!","Sammlung komplett!","Collection Complète !"
COLLECTION_BODY,"Você levou todas as espécies ao nível 100! Sua ilha está repleta de dinossauros lendários.","You've taken every species to level 100! Your island is teeming with legendary dinosaurs.","¡Has llevado todas las especies al nivel 100! Tu isla rebosa de dinosaurios legendarios.","Du hast jede Art auf Stufe 100 gebracht! Deine Insel wimmelt von legendären Dinosauriern.","Tu as amené chaque espèce au niveau 100 ! Ton île regorge de dinosaures légendaires."
COLLECTION_FOOTER,"Continue jogando — sempre há mais comida pra juntar!","Keep playing — there's always more food to gather!","Sigue jugando: ¡siempre hay más comida que reunir!","Spiel weiter — es gibt immer mehr Futter zu sammeln!","Continue de jouer — il y a toujours plus de nourriture à récolter !"
COLLECTION_BUTTON,"Continuar jogando","Keep playing","Seguir jugando","Weiterspielen","Continuer à jouer"
ONBOARDING_NEXT,"Próximo","Next","Siguiente","Weiter","Suivant"
ONBOARDING_SKIP,"Pular tutorial","Skip tutorial","Saltar tutorial","Tutorial überspringen","Passer le tutoriel"
ONBOARDING_1_TITLE,"Toque para alimentar!","Tap to feed!","¡Toca para alimentar!","Tippen zum Füttern!","Touchez pour nourrir !"
ONBOARDING_1_BODY,"Toque algumas vezes na área em destaque pra dar comida aos seus dinos.","Tap the highlighted area a few times to feed your dinos.","Toca varias veces el área resaltada para dar de comer a tus dinos.","Tippe ein paar Mal auf den markierten Bereich, um deine Dinos zu füttern.","Touchez plusieurs fois la zone en surbrillance pour nourrir vos dinos."
ONBOARDING_2_TITLE,"Desbloqueie novas espécies","Unlock new species","Desbloquea nuevas especies","Neue Arten freischalten","Débloquez de nouvelles espèces"
ONBOARDING_2_BODY,"Junte comida e toque aqui pra desbloquear novos dinos, como o Velociraptor.","Gather food and tap here to unlock new dinos, like the Velociraptor.","Reúne comida y toca aquí para desbloquear nuevos dinos, como el Velociraptor.","Sammle Futter und tippe hier, um neue Dinos wie den Velociraptor freizuschalten.","Récoltez de la nourriture et touchez ici pour débloquer de nouveaux dinos, comme le Vélociraptor."
ONBOARDING_3_TITLE,"Anúncios recompensados","Rewarded ads","Anuncios con recompensa","Belohnte Werbung","Publicités récompensées"
ONBOARDING_3_BODY,"Assista anúncios curtos pra acelerar seu progresso: dobrar produção ou ganhar comida na hora.","Watch short ads to speed up your progress: double production or get instant food.","Mira anuncios cortos para acelerar tu progreso: duplica la producción o consigue comida al instante.","Sieh dir kurze Werbung an, um schneller voranzukommen: Produktion verdoppeln oder sofort Futter erhalten.","Regardez de courtes pubs pour accélérer votre progression : doublez la production ou obtenez de la nourriture instantanément."
MILESTONE_MAX_LEVEL,"Nível Máximo!","Max Level!","¡Nivel Máximo!","Maximale Stufe!","Niveau max !"
SPECIES_ALLOSAURUS,"Alossauro","Allosaurus","Alosaurio","Allosaurus","Allosaure"
SPECIES_ANKYLOSAURUS,"Anquilossauro","Ankylosaurus","Anquilosaurio","Ankylosaurus","Ankylosaure"
SPECIES_BRACHIOSAURUS,"Braquiossauro","Brachiosaurus","Braquiosaurio","Brachiosaurus","Brachiosaure"
SPECIES_CARNOTAURUS,"Carnotauro","Carnotaurus","Carnotauro","Carnotaurus","Carnotaure"
SPECIES_COMPSOGNATHUS,"Compsognathus","Compsognathus","Compsognathus","Compsognathus","Compsognathus"
SPECIES_CORYTHOSAURUS,"Coritossauro","Corythosaurus","Coritosaurio","Corythosaurus","Corythosaure"
SPECIES_DEINONYCHUS,"Deinoníquio","Deinonychus","Deinónico","Deinonychus","Déinonychus"
SPECIES_DIMORPHODON,"Dimorfodonte","Dimorphodon","Dimorfodón","Dimorphodon","Dimorphodon"
SPECIES_DIPLODOCUS,"Diplodoco","Diplodocus","Diplodoco","Diplodocus","Diplodocus"
SPECIES_ELASMOSAURUS,"Elasmossauro","Elasmosaurus","Elasmosaurio","Elasmosaurus","Élasmosaure"
SPECIES_GALLIMIMUS,"Galimimo","Gallimimus","Galimimo","Gallimimus","Gallimimus"
SPECIES_GIGANOTOSAURUS,"Giganotossauro","Giganotosaurus","Giganotosaurio","Giganotosaurus","Giganotosaure"
SPECIES_ICHTHYOSAURUS,"Ictiossauro","Ichthyosaurus","Ictiosaurio","Ichthyosaurus","Ichtyosaure"
SPECIES_IGUANODON,"Iguanodonte","Iguanodon","Iguanodonte","Iguanodon","Iguanodon"
SPECIES_KENTROSAURUS,"Centrossauro","Kentrosaurus","Kentrosaurio","Kentrosaurus","Kentrosaure"
SPECIES_MOSASAURUS,"Mossassauro","Mosasaurus","Mosasaurio","Mosasaurus","Mosasaure"
SPECIES_OURANOSAURUS,"Uranossauro","Ouranosaurus","Ouranosaurio","Ouranosaurus","Ouranosaure"
SPECIES_PACHYCEPHALOSAURUS,"Paquicefalossauro","Pachycephalosaurus","Paquicefalosaurio","Pachycephalosaurus","Pachycéphalosaure"
SPECIES_PARASAUROLOPHUS,"Parassaurolofo","Parasaurolophus","Parasaurolofo","Parasaurolophus","Parasaurolophus"
SPECIES_PLESIOSAURUS,"Plesiossauro","Plesiosaurus","Plesiosaurio","Plesiosaurus","Plésiosaure"
SPECIES_PTERANODON,"Pteranodonte","Pteranodon","Pteranodonte","Pteranodon","Ptéranodon"
SPECIES_PTERODACTYLUS,"Pterodáctilo","Pterodactylus","Pterodáctilo","Pterodactylus","Ptérodactyle"
SPECIES_QUETZALCOATLUS,"Quetzalcoatlo","Quetzalcoatlus","Quetzalcoatlus","Quetzalcoatlus","Quetzalcoatlus"
SPECIES_RHAMPHORHYNCHUS,"Ranforrinco","Rhamphorhynchus","Ranforrinco","Rhamphorhynchus","Rhamphorhynchus"
SPECIES_SPINOSAURUS,"Espinossauro","Spinosaurus","Espinosaurio","Spinosaurus","Spinosaure"
SPECIES_STEGOSAURUS,"Estegossauro","Stegosaurus","Estegosaurio","Stegosaurus","Stégosaure"
SPECIES_STYRACOSAURUS,"Estiracossauro","Styracosaurus","Estiracosaurio","Styracosaurus","Styracosaure"
SPECIES_TAPEJARA,"Tapejara","Tapejara","Tapejara","Tapejara","Tapejara"
SPECIES_THERIZINOSAURUS,"Terizinossauro","Therizinosaurus","Terizinosaurio","Therizinosaurus","Thérizinosaure"
SPECIES_TREX,"Tiranossauro Rex","Tyrannosaurus Rex","Tiranosaurio Rex","Tyrannosaurus Rex","Tyrannosaure Rex"
SPECIES_TRICERATOPS,"Triceratops","Triceratops","Triceratops","Triceratops","Tricératops"
SPECIES_VELOCIRAPTOR,"Velociraptor","Velociraptor","Velociraptor","Velociraptor","Vélociraptor"
